"","wrf","collection_num","date","target","mean_copy_num_uL_rxn","mean_copy_num_L","sd_L","mean_total_copies","sd_total_copies"
"1","CC","7",2020-06-30,"N1",2e-04,3571.42857142857,NA,22036493928.5714,NA
"2","MI","7",2020-06-30,"N1",0.0300669453333333,536909.738095238,666940.534360062,6137918944882.95,7624422971879.2
"3","NO","7",2020-06-30,"N1",0.115574890388889,2063837.32837302,2226787.85103968,38671728782922.7,41725059746060.4
"4","CC","8",2020-07-07,"N1",0.0210929575,376659.955357143,527626.854546155,2609236621743.52,3655029667785.64
"5","MI","8",2020-07-07,"N1",0.039406414,703685.964285714,990111.471621686,9083353011487.74,12780604522348.8
"6","NO","8",2020-07-07,"N2",0.0105099662222222,187677.968253968,161718.552566269,3950035601413.89,3403670904948.54
"7","MI","9",2020-07-14,"N2",0.0389035961666667,694707.074404762,977413.403776988,7678873231045.79,10803738580551
"8","NO","9",2020-07-14,"N2",0.0391212491111111,698593.734126984,418660.999028414,12693425794087.8,7607056955194.31
"9","CC","10",2020-07-21,"N1",0.110211029166667,1968054.0922619,567008.299676739,13484303870914.3,3884909586699.58
"10","MI","10",2020-07-21,"N1",0.294110171833333,5251967.35416667,776642.20995415,64016336169678.1,9466507585303.78
"11","NO","10",2020-07-21,"N2",0.0304264415,543329.3125,439496.499857715,9666603800303.94,7819269893974.05
"12","CC","11",2020-07-28,"N1",0.023795657,424922.446428571,595880.323973279,2107142438095.08,2954903251694.92
"13","MI","11",2020-07-28,"N2",0.0450590725,804626.294642857,1132862.65580318,9046146053351.94,12736398388934.6
"14","NO","11",2020-07-28,"N1",0.1721488135,3074085.95535714,4342363.28724396,55506943166600.7,78407473211262.6
"15","CC","12",2020-08-04,"N1",2e-04,3571.42857142857,0,20819755000,0
"16","MI","12",2020-08-04,"N1",2e-04,3571.42857142857,0,47858397857.1429,0
"17","NO","12",2020-08-04,"N2",0.0066151085,118126.9375,162005.954371338,2593521564794.87,3556901966473.48
"18","CC","13",2020-08-11,"N1",0.0786008443333333,1403586.50595238,1979920.30995896,7544673561606.03,10642630399540.9
"19","MI","13",2020-08-11,"N1",2e-04,3571.42857142857,0,43261828571.4286,0
"20","NO","13",2020-08-11,"N1",0.0219693871666667,392310.485119048,549760.045993764,7662889132728.39,10738306626639.1
"21","CC","14",2020-08-18,"N1",0.133332133166667,2380930.94940476,3362094.0769993,15051375708061.1,21253930581823.3
"22","MI","14",2020-08-18,"N1",0.0736961401666667,1316002.50297619,852574.349739719,16638574176202.3,10779327187289.1
"23","NO","14",2020-08-18,"N1",0.0290613128333333,518952.014880952,728858.214942726,11216987497374.4,15754045171684.4
"24","CC","15",2020-08-25,"N1",0.0372105275,664473.705357143,934656.963233614,4401784465742.97,6191604676589.77
"25","MI","15",2020-08-25,"N1",0.0310133643333333,553810.077380953,778154.959688275,8490412730325.46,11929824042112.1
"26","NO","15",2020-08-25,"N1",0.095682496,1708616,761537.083282791,41135284908681.6,18334163375131.7
"27","CC","16",2020-09-01,"N2",0.0325455231666667,581170.056547619,56212.7036341984,3761943473822.63,363867703093.322
"28","MI","16",2020-09-01,"N1",0.0925354601666667,1652418.93154762,428841.343474275,20641774387309.9,5357023023003.16
"29","NO","16",2020-09-01,"N1",0.301564881666667,5385087.17261905,2136552.75366058,116804691039415,46342682352412.6
"30","CC","17",2020-09-08,"N1",0.0441124971666667,787723.163690476,1108958.01876375,4085141543259.82,5751069260117.64
"31","MI","17",2020-09-08,"N1",0.116773364833333,2085238.6577381,1876446.26423989,25732755451686.1,23156166157159.2
"32","NO","17",2020-09-08,"N1",0.3109677875,5552996.20535714,2885611.75506907,104261022133976,54179189025029.8
"33","CC","18",2020-09-15,"N1",0.092781843,1656818.625,2338044.60714458,9470324064804.49,13364190728860.1
"34","MI","18",2020-09-15,"N1",0.06289047725,1123044.23660714,1058102.54199532,14666580948747.9,13818464205056.1
"35","NO","18",2020-09-15,"N1",0.12781070275,2282333.97767857,1336922.51255069,47172051448945.6,27631967171360.4
"36","CC","19",2020-09-22,"N1",0.0247644881666667,442223.00297619,620347.005679525,3264290986507.4,4579122129600.2
"37","MI","19",2020-09-22,"N1",0.0985127169166667,1759155.65922619,2267593.00301799,24239216543328.7,31244919995577.8
"38","NO","19",2020-09-22,"N1",0.03773979475,673924.90625,799619.029321639,13826864870173.5,16405721414231.6
"39","CC","20",2020-09-29,"N1",2e-04,3571.42857142857,0,22847653214.2857,0
"40","MI","20",2020-09-29,"N1",0.1583853865,2828310.47321429,1982926.03148218,39720427716601.4,27847957586970.3
"41","NO","20",2020-09-29,"N1",2e-04,3571.42857142857,0,75032233928.5714,0
"42","CC","21",2020-10-06,"N2",0.0229275103333333,409419.827380952,573956.309863833,2355729301324.52,3302443131480.91
"43","MI","21",2020-10-06,"N1",0.0221709185,395909.258928571,554849.480723106,5125481728015.55,7183138083058.26
"44","NO","21",2020-10-06,"N2",0.00703298666666667,125589.047619048,172558.971705617,2557684477702.19,3514250739112.77
"45","CC","22",2020-10-13,"N1",2e-04,3571.42857142857,0,26362676785.7143,0
"46","MI","22",2020-10-13,"N1",2e-04,3571.42857142857,0,50291875714.2857,0
"47","NO","22",2020-10-13,"N2",0.0569550216666667,1017053.95833333,534289.843797647,21675309843454.1,11386709442144.6
"48","CC","23",2020-10-20,"N1",2e-04,3571.42857142857,0,20954948214.2857,0
"49","MI","23",2020-10-20,"N1",0.0446129604444444,796660.007936508,801887.833674602,10373955576611.7,10442031332177.4
"50","NO","23",2020-10-20,"N1",0.040856662,729583.25,1257489.36160991,14416448432596.7,24847788838611.8
"51","CC","24",2020-10-27,"N1",0.0390373313333333,697095.202380953,1201218.412495,4301229574573.16,7411779831073.61
"52","MI","24",2020-10-27,"N2",0.0481616746666667,860029.904761905,345743.557683283,11524702938318.1,4633085167242.16
"53","NO","24",2020-10-27,"N1",0.0770859383333333,1376534.61309524,2378041.9925168,27304318942325.9,47169767039799.5
"54","CC","25",2020-11-02,"N1",0.0386357617777778,689924.317460317,622540.555560595,4048051936364.06,3652685428858.18
"55","MI","25",2020-11-02,"N1",0.128129708555556,2288030.50992063,3334998.20903899,29447854146699.5,42922740939626.1
"56","NO","25",2020-11-02,"N1",2e-04,3571.42857142857,0,63135231071.4286,0
"57","CC","26",2020-11-04,"N1",2e-04,3571.42857142857,0,21225334642.8571,0
"58","MI","26",2020-11-04,"N1",0.0652739161111111,1165605.64484127,1008832.18134096,15045926850371.6,13022256088013.3
