"","wrf","collection_num","date","target","mean_copy_num_uL_rxn","mean_copy_num_L","sd_L","mean_total_copies","sd_total_copies"
"1","MI","10",2020-07-21,"N1",0.5866669495,10476195.5267857,1590330.05984733,8911406429540.55,1352788565675.37
"2","MI","10",2020-07-21,"N2",0.536595313,9582059.16071429,3605187.08060632,8150823778985.57,3066694130294.54
"3","MI","11",2020-07-28,"N1",0.00266123633333333,47522.0773809524,62155.6036215255,NA,NA
"4","MI","11",2020-07-28,"N2",0.0720831793333333,1287199.63095238,1815324.41285174,NA,NA
"5","MI","12",2020-08-04,"N1",2e-04,3571.42857142857,0,NA,NA
"6","MI","12",2020-08-04,"N2",2e-04,3571.42857142857,0,NA,NA
"7","MI","5",2020-06-16,"N1",2e-04,3571.42857142857,0,3037978000,0
"8","MI","5",2020-06-16,"N2",2e-04,3571.42857142857,0,3037978000,0
"9","MI","6",2020-06-23,"N1",2e-04,3571.42857142857,0,3245541714.28571,0
"10","MI","6",2020-06-23,"N2",2e-04,3571.42857142857,0,3245541714.28571,0
"11","MI","7",2020-06-30,"N1",0.11569313625,2065948.86160714,2598607.54431264,1648212844858.82,2073167643632.4
"12","MI","7",2020-06-30,"N2",0.18443702575,3293518.31696429,6579893.77678571,2627567068903.85,5249435570379.13
"13","MI","8",2020-07-07,"N1",0.0811499655,1449106.52678571,2044295.34078097,1305393589633.66,1841555457687.93
"14","MI","8",2020-07-07,"N2",2e-04,3571.42857142857,0,3217237571.42857,0
"15","MI","9",2020-07-14,"N1",2e-04,3571.42857142857,0,2754936571.42857,0
"16","MI","9",2020-07-14,"N2",0.173665921666667,3101177.17261905,4380676.05411694,2392192994051.75,3379175707339.09
"17","NO","10",2020-07-21,"N1",2e-04,3571.42857142857,0,4434315714.28571,0
"18","NO","10",2020-07-21,"N2",0.103591045333333,1849840.0952381,1520846.66235371,2296777000904.42,1888295991090.33
"19","NO","11",2020-07-28,"N1",0.0248730341666667,444161.324404762,623088.206132049,NA,NA
"20","NO","11",2020-07-28,"N2",0.0771937953333333,1378460.63095238,1094337.52961152,NA,NA
"21","NO","12",2020-08-04,"N1",2e-04,3571.42857142857,0,NA,NA
"22","NO","12",2020-08-04,"N2",0.00548557833333333,97956.755952381,133481.010071168,NA,NA
"23","NO","5",2020-06-16,"N1",2e-04,3571.42857142857,0,4547532285.71429,0
"24","NO","5",2020-06-16,"N2",2e-04,3571.42857142857,0,4547532285.71429,0
"25","NO","6",2020-06-23,"N1",2e-04,3571.42857142857,0,5000398571.42857,0
"26","NO","6",2020-06-23,"N2",2e-04,3571.42857142857,0,5000398571.42857,0
"27","NO","7",2020-06-30,"N1",0.680274777611111,12147763.8859127,19064353.5009014,15885040452283.2,24929528545548.7
"28","NO","7",2020-06-30,"N2",0.214955141277778,3838484.6656746,4294454.94118094,5019399846947.93,5615650016072.17
"29","NO","8",2020-07-07,"N1",2e-04,3571.42857142857,0,5245701142.85714,0
"30","NO","8",2020-07-07,"N2",0.133638836222222,2386407.78968254,2981060.30341312,3505146979505.05,4378570403351.28
"31","NO","9",2020-07-14,"N1",0.0297532391111111,531307.841269841,914066.279797788,673711944210.895,1159059442880.36
"32","NO","9",2020-07-14,"N2",0.367732627333333,6566654.05952381,5774929.21637957,8326685453820.11,7322758084557.24
