date,sample,target,ct,slope,intercept,copies_ul_rxn
12/22/2020,SL_A,N2,32.31383133,-3.3084,32.416,1.073696643
12/22/2020,SL_A,N2,32.97210693,-3.3084,32.416,0.679063852
12/22/2020,SL_A,N2,33.58606339,-3.3084,32.416,0.442930486
12/22/2020,SL_A,N2,34.32354355,-3.3084,32.416,0.265108802
12/22/2020,SL_A,N2,34.53200912,-3.3084,32.416,0.229304805
12/22/2020,SL_A,N2,35.17338943,-3.3084,32.416,0.146740149
12/22/2020,SL_A,N1,32.56066895,-3.389,34.008,2.673420607
12/22/2020,SL_A,N1,32.77730942,-3.389,34.008,2.307505214
12/22/2020,SL_A,N1,33.2399559,-3.389,34.008,1.685111077
12/22/2020,SL_A,N1,33.31948471,-3.389,34.008,1.596473762
12/22/2020,SL_A,N1,34.52906036,-3.389,34.008,0.701858437
12/22/2020,SL_A,N1,35.49909973,-3.389,34.008,0.363092923
12/22/2020,SL_E,N2,32.86393356,-3.3084,32.416,0.732162015
12/22/2020,SL_E,N2,33.31859589,-3.3084,32.416,0.533556658
12/22/2020,SL_E,N2,33.96500778,-3.3084,32.416,0.340247934
12/22/2020,SL_E,N2,34.20584488,-3.3084,32.416,0.287739745
12/22/2020,SL_E,N2,34.8387413,-3.3084,32.416,0.185225172
12/22/2020,SL_E,N2,36.29816818,-3.3084,32.416,0.067076796
12/22/2020,SL_E,N1,32.90083313,-3.389,34.008,2.121750273
12/22/2020,SL_E,N1,33.25299835,-3.389,34.008,1.670244567
12/22/2020,SL_E,N1,33.25871658,-3.389,34.008,1.663768037
12/22/2020,SL_E,N1,33.28956223,-3.389,34.008,1.629262569
12/22/2020,SL_E,N1,33.65691757,-3.389,34.008,1.269388903
12/22/2020,SL_E,N1,33.95291519,-3.389,34.008,1.038135401
12/22/2020,SL_F,N2,31.81760025,-3.3084,32.416,1.516606294
12/22/2020,SL_F,N2,32.25653458,-3.3084,32.416,1.117378121
12/22/2020,SL_F,N2,32.69973755,-3.3084,32.416,0.820799776
12/22/2020,SL_F,N2,33.84605408,-3.3084,32.416,0.369615819
12/22/2020,SL_F,N2,33.88142395,-3.3084,32.416,0.360628148
12/22/2020,SL_F,N2,35.120224,-3.3084,32.416,0.152271557
12/22/2020,SL_F,N1,32.32943344,-3.389,34.008,3.128228608
12/22/2020,SL_F,N1,33.08029556,-3.389,34.008,1.878191523
12/22/2020,SL_F,N1,33.35144806,-3.389,34.008,1.562177168
12/22/2020,SL_F,N1,33.4312439,-3.389,34.008,1.479737721
12/22/2020,SL_F,N1,33.78607941,-3.389,34.008,1.162740011
12/22/2020,SL_F,N1,35.2155571,-3.389,34.008,0.440233774
12/22/2020,SL_G,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_G,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_G,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_G,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_G,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_G,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_G,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_G,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_G,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_G,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_G,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_G,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_H,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_H,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_H,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_H,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_H,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_H,N1,36.20284271,-3.389,34.008,0.225093384
12/22/2020,SL_I,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_I,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_I,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_I,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_I,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_I,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_I,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_I,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_I,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_I,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_I,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_I,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_J,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_J,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_J,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_J,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_J,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_J,N2,36.19623184,-3.3084,32.416,0.072008486
12/22/2020,SL_J,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_J,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_J,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_J,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_J,N1,35.25325775,-3.389,34.008,0.429100421
12/22/2020,SL_J,N1,36.10372925,-3.389,34.008,0.240773322
12/22/2020,SL_K,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_K,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_K,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_K,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_K,N2,35.664608,-3.3084,32.416,0.104249213
12/22/2020,SL_K,N2,37.06962967,-3.3084,32.416,0.039209351
12/22/2020,SL_K,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_K,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_K,N1,Undetermined,-3.389,34.008,0.0002
12/22/2020,SL_K,N1,35.22140121,-3.389,34.008,0.438489222
12/22/2020,SL_K,N1,36.15422821,-3.389,34.008,0.232652392
12/22/2020,SL_K,N1,37.02046204,-3.389,34.008,0.129153422
12/22/2020,SL_L,N2,Undetermined,-3.3084,32.416,0.0002
12/22/2020,SL_L,N2,32.91334152,-3.3084,32.416,0.707413101
12/22/2020,SL_L,N2,34.00886536,-3.3084,32.416,0.330019091
12/22/2020,SL_L,N2,34.21749115,-3.3084,32.416,0.285416872
12/22/2020,SL_L,N2,34.32872391,-3.3084,32.416,0.264154691
12/22/2020,SL_L,N2,34.74965286,-3.3084,32.416,0.197073377
12/22/2020,SL_L,N1,33.1803093,-3.389,34.008,1.754803906
12/22/2020,SL_L,N1,33.88695145,-3.389,34.008,1.085720588
12/22/2020,SL_L,N1,34.81713104,-3.389,34.008,0.577095714
12/22/2020,SL_L,N1,34.94143295,-3.389,34.008,0.530358824
12/22/2020,SL_L,N1,35.24281693,-3.389,34.008,0.432155194
12/22/2020,SL_L,N1,35.26192856,-3.389,34.008,0.426579936
1/5/2021,SL_A,N1,30.63733864,-3.389,34.008,9.876174981
1/5/2021,SL_A,N1,30.96229744,-3.389,34.008,7.919585237
1/5/2021,SL_A,N1,31.66383362,-3.389,34.008,4.916981211
